日期,开盘价,最高价,最低价,收盘价,昨收价,涨跌额,涨跌幅(%),成交量(手),成交额(元)
20250910,4.1,4.1,4.06,4.08,4.1,-0.02,-0.4878,3644817.35,1487420.804
20250911,4.08,4.16,4.06,4.16,4.08,0.08,1.9608,7051552.08,2908382.788
20250912,4.19,4.2,4.15,4.17,4.16,0.01,0.2404,5953652.34,2483992.512
20250915,4.17,4.25,4.15,4.16,4.17,-0.01,-0.2398,5787836.98,2424286.731
20250916,4.17,4.18,4.1,4.13,4.16,-0.03,-0.7212,5098731.45,2103302.503
20250917,4.13,4.18,4.1,4.16,4.13,0.03,0.7264,5275441.19,2189133.373
20250918,4.16,4.22,4.1,4.14,4.16,-0.02,-0.4808,8427305.92,3514369.252
20250919,4.12,4.18,4.12,4.13,4.14,-0.01,-0.2415,5535342.22,2299804.727
20250922,4.13,4.18,4.08,4.14,4.13,0.01,0.2421,5037545.98,2079566.768
20250923,4.15,4.18,4.05,4.16,4.14,0.02,0.4831,7129824.87,2932731.471
20250924,4.14,4.22,4.11,4.21,4.16,0.05,1.2019,9485993.11,3974622.845
20250925,4.2,4.21,4.15,4.17,4.21,-0.04,-0.9501,6549625.42,2735280.005
20250926,4.16,4.17,4.1,4.1,4.17,-0.07,-1.6787,7091057.95,2923583.292
20250929,4.1,4.13,4.04,4.12,4.1,0.02,0.4878,7313187.76,2984613.077
20250930,4.11,4.17,4.11,4.16,4.12,0.04,0.9709,6941579.65,2880953.71
20251009,4.17,4.34,4.17,4.28,4.16,0.12,2.8846,11954060.82,5103439.303
20251010,4.26,4.27,4.16,4.17,4.28,-0.11,-2.5701,8704489.13,3654399.538
20251013,4.08,4.12,4.04,4.11,4.17,-0.06,-1.4388,10634842.68,4329024.308
20251014,4.12,4.15,4.05,4.06,4.11,-0.05,-1.2165,8429044.61,3454369.141
20251015,4.07,4.12,4.05,4.1,4.06,0.04,0.9852,5682302.58,2321083.018
20251016,4.1,4.11,4.06,4.08,4.1,-0.02,-0.4878,4037342.72,1648298.521
20251017,4.07,4.09,4.0,4.0,4.08,-0.08,-1.9608,6538105.72,2638604.172
20251020,4.03,4.04,3.99,4.0,4.0,0.0,0.0,4153328.58,1665718.366
20251021,4.01,4.04,4.0,4.02,4.0,0.02,0.5,3495761.08,1407596.04
20251022,4.02,4.04,4.01,4.02,4.02,0.0,0.0,2414810.62,972181.787
20251023,4.02,4.05,4.0,4.05,4.02,0.03,0.7463,3398282.22,1368731.171
20251024,4.05,4.07,4.03,4.05,4.05,0.0,0.0,2712257.72,1098279.999
20251027,4.07,4.08,4.05,4.07,4.05,0.02,0.4938,3887685.98,1580741.526
20251028,4.06,4.07,4.04,4.06,4.07,-0.01,-0.2457,3409723.06,1383148.119
20251029,4.05,4.08,4.04,4.07,4.06,0.01,0.2463,3518629.4,1428652.705
20251030,4.07,4.14,4.06,4.09,4.07,0.02,0.4914,6314409.17,2588031.798
20251031,4.1,4.12,4.05,4.06,4.09,-0.03,-0.7335,5405928.41,2205281.357
20251103,4.06,4.07,4.03,4.06,4.06,0.0,0.0,3778568.28,1528023.305
20251104,4.05,4.06,4.0,4.0,4.06,-0.06,-1.4778,4983636.31,2003625.535
20251105,3.99,4.02,3.96,4.0,4.0,0.0,0.0,4124789.74,1645610.522
20251106,4.0,4.02,3.99,4.0,4.0,0.0,0.0,3145668.56,1259635.603
20251107,4.0,4.02,3.98,4.01,4.0,0.01,0.25,3042867.42,1218198.534
20251110,4.01,4.07,3.99,4.06,4.01,0.05,1.2469,5715496.57,2306375.737
20251111,4.07,4.07,4.03,4.04,4.06,-0.02,-0.4926,3508117.1,1419617.895
20251112,4.04,4.06,4.01,4.04,4.04,0.0,0.0,4891171.08,1972766.4
20251113,4.03,4.05,4.02,4.04,4.04,0.0,0.0,3840009.65,1548913.679
20251114,4.02,4.03,3.99,4.0,4.04,-0.04,-0.9901,3937048.65,1579251.592
20251117,3.99,4.0,3.96,3.96,4.0,-0.04,-1.0,4118776.81,1637454.772
20251118,3.96,3.97,3.92,3.93,3.96,-0.03,-0.7576,4187631.5,1649319.682
20251119,3.92,3.94,3.88,3.92,3.93,-0.01,-0.2545,4432660.9,1731734.666
20251120,3.92,3.94,3.9,3.9,3.92,-0.02,-0.5102,3542675.23,1388610.092
20251121,3.88,3.89,3.82,3.83,3.9,-0.07,-1.7949,5257286.69,2027238.704
20251124,3.84,3.85,3.79,3.82,3.83,-0.01,-0.2611,4752872.61,1815626.625
20251125,3.83,3.87,3.82,3.85,3.82,0.03,0.7853,3576158.39,1378973.13
20251126,3.86,3.88,3.85,3.86,3.85,0.01,0.2597,2765761.3,1068537.512
20251127,3.86,3.87,3.83,3.84,3.86,-0.02,-0.5181,2477697.57,953888.296
20251128,3.84,3.86,3.82,3.86,3.84,0.02,0.5208,2353449.96,904344.536
20251201,3.86,3.91,3.85,3.9,3.86,0.04,1.0363,3655252.97,1419026.262
20251202,3.9,3.91,3.87,3.88,3.9,-0.02,-0.5128,3142161.27,1221233.044
20251203,3.89,4.08,3.88,4.03,3.88,0.15,3.866,13007301.82,5204396.132
20251204,4.02,4.08,4.01,4.05,4.03,0.02,0.4963,7947714.47,3219445.781
20251205,4.05,4.26,4.04,4.26,4.05,0.21,5.1852,19001402.69,7914360.386
20251208,4.26,4.35,4.2,4.21,4.26,-0.05,-1.1737,11891016.05,5049918.352
20251209,4.2,4.23,4.15,4.17,4.21,-0.04,-0.9501,7528102.84,3147923.505
20251210,4.17,4.24,4.15,4.18,4.17,0.01,0.2398,6945594.86,2901766.002
20251211,4.18,4.19,4.1,4.11,4.18,-0.07,-1.6746,5553656.32,2295224.945
20251212,4.12,4.16,4.09,4.14,4.11,0.03,0.7299,7000578.24,2891234.201
20251215,4.11,4.18,4.1,4.13,4.14,-0.01,-0.2415,7297572.0,3022341.196
20251216,4.14,4.18,4.11,4.14,4.13,0.01,0.2421,7693817.68,3191279.29
20251217,4.14,4.19,4.13,4.17,4.14,0.03,0.7246,7090169.91,2949819.938
20251218,4.15,4.16,4.07,4.11,4.17,-0.06,-1.4388,6223879.6,2554903.593
20251219,4.12,4.13,4.09,4.09,4.11,-0.02,-0.4866,4307934.25,1769824.923
20251222,4.09,4.1,4.03,4.04,4.09,-0.05,-1.2225,6908224.0,2803120.679
20251223,4.05,4.06,4.02,4.04,4.04,0.0,0.0,5196733.75,2097091.502
20251224,4.03,4.07,4.0,4.06,4.04,0.02,0.495,5238621.62,2114407.39
20251225,4.05,4.08,4.05,4.06,4.06,0.0,0.0,3543810.01,1440968.281
20251226,4.06,4.07,4.03,4.04,4.06,-0.02,-0.4926,3746384.52,1517451.545
20251229,4.05,4.2,4.04,4.13,4.04,0.09,2.2277,9222853.57,3810078.209
20251230,4.12,4.2,4.11,4.17,4.13,0.04,0.9685,6100018.37,2542195.065
20251231,4.17,4.27,4.15,4.21,4.17,0.04,0.9592,8178798.46,3445261.537
20260105,4.22,4.27,4.19,4.23,4.21,0.02,0.4751,8507615.74,3594432.719
20260106,4.24,4.54,4.23,4.5,4.23,0.27,6.383,21037707.63,9305295.623
20260107,4.45,4.47,4.33,4.36,4.5,-0.14,-3.1111,12759382.61,5580739.006
20260108,4.35,4.39,4.32,4.35,4.36,-0.01,-0.2294,6804691.24,2961903.546
20260109,4.34,4.54,4.33,4.41,4.35,0.06,1.3793,10734673.84,4769330.499
